tissue,experiment,model,pearson,spearman
57,dnase,GRT,0.692,0.794
57,dnase,Borzoi,0.783,0.781
57,h3k4me1,GRT,0.604,0.581
57,h3k4me1,Borzoi,0.698,0.625
57,h3k4me2,GRT,0.651,0.444
57,h3k4me2,Borzoi,0.732,0.474
57,h3k4me3,GRT,0.832,0.307
57,h3k4me3,Borzoi,0.872,0.332
57,h3k9ac,GRT,0.618,0.45
57,h3k9ac,Borzoi,0.684,0.466
57,h3k9me3,GRT,0.617,0.598
57,h3k9me3,Borzoi,0.667,0.624
57,h3k27ac,GRT,0.517,0.506
57,h3k27ac,Borzoi,0.649,0.545
57,h3k27me3,GRT,0.582,0.56
57,h3k27me3,Borzoi,0.656,0.595
57,h3k36me3,GRT,0.699,0.55
57,h3k36me3,Borzoi,0.745,0.561
57,h3k79me2,GRT,0.698,0.618
57,h3k79me2,Borzoi,0.757,0.6
57,ctcf,GRT,0.759,0.263
57,ctcf,Borzoi,0.82,0.284
57,rna_total_plus,GRT,0.753,0.519
57,rna_total_plus,Borzoi,0.776,0.521
57,rna_total_minus,GRT,0.761,0.502
57,rna_total_minus,Borzoi,0.774,0.499
57,rna_polya_plus,GRT,0.746,0.351
57,rna_polya_plus,Borzoi,0.806,0.348
57,rna_polya_minus,GRT,0.733,0.331
57,rna_polya_minus,Borzoi,0.789,0.327
59,dnase,GRT,0.741,0.751
59,dnase,Borzoi,0.757,0.638
59,h3k4me1,GRT,0.589,0.408
59,h3k4me1,Borzoi,0.698,0.427
59,h3k4me2,GRT,0.717,0.382
59,h3k4me2,Borzoi,0.785,0.397
59,h3k4me3,GRT,0.851,0.435
59,h3k4me3,Borzoi,0.812,0.347
59,h3k9ac,GRT,0.782,0.599
59,h3k9ac,Borzoi,0.663,0.314
59,h3k9me3,GRT,0.393,0.392
59,h3k9me3,Borzoi,0.43,0.431
59,h3k27me3,GRT,0.701,0.656
59,h3k27me3,Borzoi,0.712,0.629
59,h3k36me3,GRT,0.706,0.524
59,h3k36me3,Borzoi,0.691,0.479
59,h3k79me2,GRT,0.694,0.388
59,h3k79me2,Borzoi,0.758,0.397
59,ctcf,GRT,0.751,0.29
59,ctcf,Borzoi,0.745,0.231
59,cage_plus,GRT,0.657,0.127
59,cage_plus,Borzoi,0.463,0.11
59,cage_minus,GRT,0.426,0.12
59,cage_minus,Borzoi,0.345,0.101
59,rna_total_plus,GRT,0.746,0.456
59,rna_total_plus,Borzoi,0.706,0.453
59,rna_total_minus,GRT,0.746,0.47
59,rna_total_minus,Borzoi,0.719,0.459
59,rna_polya_plus,GRT,0.789,0.401
59,rna_polya_plus,Borzoi,0.789,0.392
59,rna_polya_minus,GRT,0.753,0.405
59,rna_polya_minus,Borzoi,0.776,0.391
79,h3k4me1,GRT,0.57,0.573
79,h3k4me1,Borzoi,0.684,0.598
79,h3k4me2,GRT,0.7,0.395
79,h3k4me2,Borzoi,0.757,0.452
79,h3k4me3,GRT,0.872,0.333
79,h3k4me3,Borzoi,0.886,0.299
79,h3k9ac,GRT,0.682,0.441
79,h3k9ac,Borzoi,0.728,0.488
79,h3k9me3,GRT,0.502,0.499
79,h3k9me3,Borzoi,0.417,0.415
79,h3k27ac,GRT,0.519,0.492
79,h3k27ac,Borzoi,0.565,0.522
79,h3k27me3,GRT,0.365,0.321
79,h3k27me3,Borzoi,0.423,0.37
79,h3k36me3,GRT,0.735,0.604
79,h3k36me3,Borzoi,0.737,0.614
79,h3k79me2,GRT,0.641,0.392
79,h3k79me2,Borzoi,0.699,0.418
79,ctcf,GRT,0.852,0.333
79,ctcf,Borzoi,0.902,0.274
79,rna_polya_plus,GRT,0.745,0.391
79,rna_polya_plus,Borzoi,0.782,0.392
79,rna_polya_minus,GRT,0.694,0.358
79,rna_polya_minus,Borzoi,0.742,0.361
145,h3k4me1,GRT,0.489,0.35
145,h3k4me1,Borzoi,0.534,0.368
145,h3k4me3,GRT,0.878,0.216
145,h3k4me3,Borzoi,0.867,0.09
145,h3k9me3,GRT,0.409,0.396
145,h3k9me3,Borzoi,0.375,0.4
145,h3k27ac,GRT,0.69,0.367
145,h3k27ac,Borzoi,0.7,0.263
145,h3k27me3,GRT,0.353,0.274
145,h3k27me3,Borzoi,0.362,0.269
145,h3k36me3,GRT,0.412,0.262
145,h3k36me3,Borzoi,0.427,0.275
145,ctcf,GRT,0.651,0.295
145,ctcf,Borzoi,0.669,0.294
145,rna_total_plus,GRT,0.701,0.36
145,rna_total_plus,Borzoi,0.685,0.359
145,rna_total_minus,GRT,0.658,0.329
145,rna_total_minus,Borzoi,0.671,0.326
176,h3k4me1,GRT,0.663,0.516
176,h3k4me1,Borzoi,0.682,0.51
176,h3k4me3,GRT,0.901,0.187
176,h3k4me3,Borzoi,0.903,0.157
176,h3k9me3,GRT,0.4,0.383
176,h3k9me3,Borzoi,0.477,0.417
176,h3k27ac,GRT,0.703,0.303
176,h3k27ac,Borzoi,0.748,0.307
176,h3k27me3,GRT,0.364,0.289
176,h3k27me3,Borzoi,0.39,0.304
176,h3k36me3,GRT,0.696,0.356
176,h3k36me3,Borzoi,0.707,0.366
176,ctcf,GRT,0.775,0.178
176,ctcf,Borzoi,0.81,0.136
176,rna_total_plus,GRT,0.683,0.298
176,rna_total_plus,Borzoi,0.708,0.298
176,rna_total_minus,GRT,0.677,0.279
176,rna_total_minus,Borzoi,0.744,0.284
297,h3k4me1,GRT,0.645,0.451
297,h3k4me1,Borzoi,0.58,0.344
297,h3k4me3,GRT,0.9,0.218
297,h3k4me3,Borzoi,0.888,0.094
297,h3k9me3,GRT,0.468,0.461
297,h3k9me3,Borzoi,0.48,0.448
297,h3k27ac,GRT,0.736,0.343
297,h3k27ac,Borzoi,0.74,0.234
297,h3k27me3,GRT,0.448,0.377
297,h3k27me3,Borzoi,0.414,0.324
297,ctcf,GRT,0.783,0.231
297,ctcf,Borzoi,0.821,0.241
297,rna_total_plus,GRT,0.742,0.498
297,rna_total_plus,Borzoi,0.733,0.494
297,rna_total_minus,GRT,0.687,0.469
297,rna_total_minus,Borzoi,0.731,0.475
325,h3k4me1,GRT,0.583,0.463
325,h3k4me1,Borzoi,0.677,0.51
325,h3k4me3,GRT,0.8,0.176
325,h3k4me3,Borzoi,0.829,0.191
325,h3k9me3,GRT,0.193,0.173
325,h3k9me3,Borzoi,0.21,0.183
325,h3k27ac,GRT,0.557,0.358
325,h3k27ac,Borzoi,0.641,0.394
325,h3k27me3,GRT,0.289,0.245
325,h3k27me3,Borzoi,0.339,0.308
